Indicator;Economic activity;Year;Number of Employees
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2010;20922.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2010;3447.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2010;N/A
Self-employed (Domestic concept);P Education;2010;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2010;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2010;17475.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2010;N/A
Self-employed (Domestic concept);S Other service activities;2010;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2010;N/A
Total employment (Domestic concept);TOTAL TOTAL;2011;856224.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2011;68563.0
Total employment (Domestic concept);B_C_D_E Industry - total;2011;139646.0
Total employment (Domestic concept);B Mining and quarrying;2011;N/A
Total employment (Domestic concept);C Manufacturing;2011;119268.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2011;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2011;N/A
Total employment (Domestic concept);F Construction;2011;61661.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2011;250880.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2011;229871.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2011;N/A
Total employment (Domestic concept);H Transportation and storage;2011;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2011;N/A
Total employment (Domestic concept);J Information and communication;2011;21008.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2011;91136.0
Total employment (Domestic concept);K Financial and insurance activities;2011;17306.0
Total employment (Domestic concept);L Real estate activities;2011;19284.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2011;54545.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2011;N/A
Total employment (Domestic concept);N Administrative and support service activities;2011;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2011;244339.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2011;199251.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2011;N/A
Total employment (Domestic concept);P Education;2011;N/A
Total employment (Domestic concept);Q Human health and social work activities;2011;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2011;45088.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2011;N/A
Total employment (Domestic concept);S Other service activities;2011;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2011;N/A
Employees (Domestic concept);TOTAL TOTAL;2011;756388.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2011;30560.0
Employees (Domestic concept);B_C_D_E Industry - total;2011;132815.0
Employees (Domestic concept);B Mining and quarrying;2011;N/A
Employees (Domestic concept);C Manufacturing;2011;113106.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2011;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2011;N/A
Employees (Domestic concept);F Construction;2011;53496.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2011;234905.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2011;216426.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2011;N/A
Employees (Domestic concept);H Transportation and storage;2011;N/A
Employees (Domestic concept);I Accommodation and food service activities;2011;N/A
Employees (Domestic concept);J Information and communication;2011;18479.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2011;83344.0
Employees (Domestic concept);K Financial and insurance activities;2011;16686.0
Employees (Domestic concept);L Real estate activities;2011;18392.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2011;48266.0
Employees (Domestic concept);M Professional, scientific and technical activities;2011;N/A
Employees (Domestic concept);N Administrative and support service activities;2011;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2011;221268.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2011;194541.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2011;N/A
Employees (Domestic concept);P Education;2011;N/A
Employees (Domestic concept);Q Human health and social work activities;2011;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2011;26728.0
Employees (Domestic concept);R Arts, entertainment and recreation;2011;N/A
Employees (Domestic concept);S Other service activities;2011;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2011;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2011;99836.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2011;38003.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2011;6831.0
Self-employed (Domestic concept);B Mining and quarrying;2011;N/A
Self-employed (Domestic concept);C Manufacturing;2011;6162.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2011;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2011;N/A
Self-employed (Domestic concept);F Construction;2011;8165.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2011;15975.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2011;13445.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2011;N/A
Self-employed (Domestic concept);H Transportation and storage;2011;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2011;N/A
Self-employed (Domestic concept);J Information and communication;2011;2529.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2011;7792.0
Self-employed (Domestic concept);K Financial and insurance activities;2011;620.0
Self-employed (Domestic concept);L Real estate activities;2011;892.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2011;6279.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2011;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2011;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2011;23071.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2011;4711.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2011;N/A
Self-employed (Domestic concept);P Education;2011;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2011;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2011;18360.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2011;N/A
Self-employed (Domestic concept);S Other service activities;2011;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2011;N/A
Total employment (Domestic concept);TOTAL TOTAL;2012;868633.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2012;67966.0
Total employment (Domestic concept);B_C_D_E Industry - total;2012;145328.0
Total employment (Domestic concept);B Mining and quarrying;2012;N/A
Total employment (Domestic concept);C Manufacturing;2012;124882.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2012;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2012;N/A
Total employment (Domestic concept);F Construction;2012;60811.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2012;247301.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2012;225874.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2012;N/A
Total employment (Domestic concept);H Transportation and storage;2012;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2012;N/A
Total employment (Domestic concept);J Information and communication;2012;21427.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2012;102071.0
Total employment (Domestic concept);K Financial and insurance activities;2012;16723.0
Total employment (Domestic concept);L Real estate activities;2012;19968.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2012;65380.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2012;N/A
Total employment (Domestic concept);N Administrative and support service activities;2012;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2012;245156.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2012;199869.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2012;N/A
Total employment (Domestic concept);P Education;2012;N/A
Total employment (Domestic concept);Q Human health and social work activities;2012;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2012;45287.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2012;N/A
Total employment (Domestic concept);S Other service activities;2012;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2012;N/A
Employees (Domestic concept);TOTAL TOTAL;2012;766720.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2012;32126.0
Employees (Domestic concept);B_C_D_E Industry - total;2012;137949.0
Employees (Domestic concept);B Mining and quarrying;2012;N/A
Employees (Domestic concept);C Manufacturing;2012;118060.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2012;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2012;N/A
Employees (Domestic concept);F Construction;2012;52042.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2012;230713.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2012;210917.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2012;N/A
Employees (Domestic concept);H Transportation and storage;2012;N/A
Employees (Domestic concept);I Accommodation and food service activities;2012;N/A
Employees (Domestic concept);J Information and communication;2012;19796.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2012;92726.0
Employees (Domestic concept);K Financial and insurance activities;2012;15898.0
Employees (Domestic concept);L Real estate activities;2012;18434.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2012;58394.0
Employees (Domestic concept);M Professional, scientific and technical activities;2012;N/A
Employees (Domestic concept);N Administrative and support service activities;2012;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2012;221164.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2012;194048.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2012;N/A
Employees (Domestic concept);P Education;2012;N/A
Employees (Domestic concept);Q Human health and social work activities;2012;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2012;27116.0
Employees (Domestic concept);R Arts, entertainment and recreation;2012;N/A
Employees (Domestic concept);S Other service activities;2012;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2012;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2012;101913.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2012;35840.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2012;7379.0
Self-employed (Domestic concept);B Mining and quarrying;2012;N/A
Self-employed (Domestic concept);C Manufacturing;2012;6822.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2012;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2012;N/A
Self-employed (Domestic concept);F Construction;2012;8769.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2012;16588.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2012;14957.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2012;N/A
Self-employed (Domestic concept);H Transportation and storage;2012;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2012;N/A
Self-employed (Domestic concept);J Information and communication;2012;1631.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2012;9344.0
Self-employed (Domestic concept);K Financial and insurance activities;2012;825.0
Self-employed (Domestic concept);L Real estate activities;2012;1534.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2012;6985.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2012;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2012;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2012;23992.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2012;5821.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2012;N/A
Self-employed (Domestic concept);P Education;2012;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2012;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2012;18171.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2012;N/A
Self-employed (Domestic concept);S Other service activities;2012;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2012;N/A
Total employment (Domestic concept);TOTAL TOTAL;2013;888632.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2013;67763.0
Total employment (Domestic concept);B_C_D_E Industry - total;2013;146364.0
Total employment (Domestic concept);B Mining and quarrying;2013;N/A
Total employment (Domestic concept);C Manufacturing;2013;125356.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2013;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2013;N/A
Total employment (Domestic concept);F Construction;2013;64561.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2013;252651.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2013;228966.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2013;N/A
Total employment (Domestic concept);H Transportation and storage;2013;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2013;N/A
Total employment (Domestic concept);J Information and communication;2013;23685.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2013;107760.0
Total employment (Domestic concept);K Financial and insurance activities;2013;16024.0
Total employment (Domestic concept);L Real estate activities;2013;21086.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2013;70649.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2013;N/A
Total employment (Domestic concept);N Administrative and support service activities;2013;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2013;249534.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2013;202250.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2013;N/A
Total employment (Domestic concept);P Education;2013;N/A
Total employment (Domestic concept);Q Human health and social work activities;2013;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2013;47284.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2013;N/A
Total employment (Domestic concept);S Other service activities;2013;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2013;N/A
Employees (Domestic concept);TOTAL TOTAL;2013;782976.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2013;34002.0
Employees (Domestic concept);B_C_D_E Industry - total;2013;139492.0
Employees (Domestic concept);B Mining and quarrying;2013;N/A
Employees (Domestic concept);C Manufacturing;2013;119360.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2013;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2013;N/A
Employees (Domestic concept);F Construction;2013;55474.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2013;233533.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2013;212533.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2013;N/A
Employees (Domestic concept);H Transportation and storage;2013;N/A
Employees (Domestic concept);I Accommodation and food service activities;2013;N/A
Employees (Domestic concept);J Information and communication;2013;21000.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2013;94518.0
Employees (Domestic concept);K Financial and insurance activities;2013;15620.0
Employees (Domestic concept);L Real estate activities;2013;18741.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2013;60157.0
Employees (Domestic concept);M Professional, scientific and technical activities;2013;N/A
Employees (Domestic concept);N Administrative and support service activities;2013;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2013;225957.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2013;197154.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2013;N/A
Employees (Domestic concept);P Education;2013;N/A
Employees (Domestic concept);Q Human health and social work activities;2013;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2013;28803.0
Employees (Domestic concept);R Arts, entertainment and recreation;2013;N/A
Employees (Domestic concept);S Other service activities;2013;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2013;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2013;105656.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2013;33761.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2013;6873.0
Self-employed (Domestic concept);B Mining and quarrying;2013;N/A
Self-employed (Domestic concept);C Manufacturing;2013;5996.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2013;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2013;N/A
Self-employed (Domestic concept);F Construction;2013;9087.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2013;19117.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2013;16433.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2013;N/A
Self-employed (Domestic concept);H Transportation and storage;2013;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2013;N/A
Self-employed (Domestic concept);J Information and communication;2013;2685.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2013;13241.0
Self-employed (Domestic concept);K Financial and insurance activities;2013;404.0
Self-employed (Domestic concept);L Real estate activities;2013;2345.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2013;10492.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2013;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2013;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2013;23577.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2013;5096.0
Self-employed (Domestic concept);O Public administration and defence, compulsory social security;2013;N/A
Self-employed (Domestic concept);P Education;2013;N/A
Self-employed (Domestic concept);Q Human health and social work activities;2013;N/A
Self-employed (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2013;18480.0
Self-employed (Domestic concept);R Arts, entertainment and recreation;2013;N/A
Self-employed (Domestic concept);S Other service activities;2013;N/A
Self-employed (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2013;N/A
Total employment (Domestic concept);TOTAL TOTAL;2014;876632.0
Total employment (Domestic concept);A Agriculture, forestry and fishing;2014;65164.0
Total employment (Domestic concept);B_C_D_E Industry - total;2014;139389.0
Total employment (Domestic concept);B Mining and quarrying;2014;N/A
Total employment (Domestic concept);C Manufacturing;2014;119027.0
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2014;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2014;N/A
Total employment (Domestic concept);F Construction;2014;66713.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2014;257167.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2014;230843.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2014;N/A
Total employment (Domestic concept);H Transportation and storage;2014;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2014;N/A
Total employment (Domestic concept);J Information and communication;2014;26323.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2014;107399.0
Total employment (Domestic concept);K Financial and insurance activities;2014;15501.0
Total employment (Domestic concept);L Real estate activities;2014;21604.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2014;70294.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2014;N/A
Total employment (Domestic concept);N Administrative and support service activities;2014;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2014;240800.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2014;195600.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2014;N/A
Total employment (Domestic concept);P Education;2014;N/A
Total employment (Domestic concept);Q Human health and social work activities;2014;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2014;45200.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2014;N/A
Total employment (Domestic concept);S Other service activities;2014;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2014;N/A
Employees (Domestic concept);TOTAL TOTAL;2014;772764.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2014;32822.0
Employees (Domestic concept);B_C_D_E Industry - total;2014;132548.0
Employees (Domestic concept);B Mining and quarrying;2014;N/A
Employees (Domestic concept);C Manufacturing;2014;112442.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2014;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2014;N/A
Employees (Domestic concept);F Construction;2014;56986.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2014;237847.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2014;215189.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2014;N/A
Employees (Domestic concept);H Transportation and storage;2014;N/A
Employees (Domestic concept);I Accommodation and food service activities;2014;N/A
Employees (Domestic concept);J Information and communication;2014;22658.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2014;92272.0
Employees (Domestic concept);K Financial and insurance activities;2014;14769.0
Employees (Domestic concept);L Real estate activities;2014;18995.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2014;58508.0
Employees (Domestic concept);M Professional, scientific and technical activities;2014;N/A
Employees (Domestic concept);N Administrative and support service activities;2014;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2014;220289.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2014;191820.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2014;N/A
Employees (Domestic concept);P Education;2014;N/A
Employees (Domestic concept);Q Human health and social work activities;2014;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2014;28469.0
Employees (Domestic concept);R Arts, entertainment and recreation;2014;N/A
Employees (Domestic concept);S Other service activities;2014;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2014;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2014;103868.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2014;32342.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2014;6841.0
Self-employed (Domestic concept);B Mining and quarrying;2014;N/A
Self-employed (Domestic concept);C Manufacturing;2014;6585.0
Self-employed (Domestic concept);D Electricity, gas, steam and air conditioning supply;2014;N/A
Self-employed (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2014;N/A
Self-employed (Domestic concept);F Construction;2014;9727.0
Self-employed (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2014;19319.0
Self-employed (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2014;15654.0
Self-employed (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2014;N/A
Self-employed (Domestic concept);H Transportation and storage;2014;N/A
Self-employed (Domestic concept);I Accommodation and food service activities;2014;N/A
Self-employed (Domestic concept);J Information and communication;2014;3665.0
Self-employed (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2014;15127.0
Self-employed (Domestic concept);K Financial and insurance activities;2014;732.0
Self-employed (Domestic concept);L Real estate activities;2014;2609.0
Self-employed (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2014;11786.0
Self-employed (Domestic concept);M Professional, scientific and technical activities;2014;N/A
Self-employed (Domestic concept);N Administrative and support service activities;2014;N/A
Self-employed (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2014;20511.0
Self-employed (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2014;3780.0
